id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2024-426522,2024-01-02,000001,Vente,330000,9,,RTE DU MESNIL,1915,78990,78208,Élancourt,78,,,78208000BC0419,,,,,,,,,,,,,0,3,Dépendance,,0,J,jardins,POTAG,Jardin potager,664,1.957561,48.782537
2024-426522,2024-01-02,000001,Vente,330000,9,,RTE DU MESNIL,1915,78990,78208,Élancourt,78,,,78208000BC0419,,,,,,,,,,,,,0,1,Maison,87,3,J,jardins,POTAG,Jardin potager,664,1.957561,48.782537
2024-426522,2024-01-02,000001,Vente,330000,9,,RTE DU MESNIL,1915,78990,78208,Élancourt,78,,,78208000BC0419,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,500,1.957561,48.782537
2024-426522,2024-01-02,000001,Vente,330000,9,,RTE DU MESNIL,1915,78990,78208,Élancourt,78,,,78208000BC0419,,,,,,,,,,,,,0,1,Maison,87,3,S,sols,,,500,1.957561,48.782537
2024-426522,2024-01-02,000001,Vente,330000,9,,RTE DU MESNIL,1915,78990,78208,Élancourt,78,,,78208000BC0419,,,,,,,,,,,,,0,3,Dépendance,,0,J,jardins,POTAG,Jardin potager,664,1.957561,48.782537
2024-426522,2024-01-02,000001,Vente,330000,9,,RTE DU MESNIL,1915,78990,78208,Élancourt,78,,,78208000BC0419,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,500,1.957561,48.782537
2024-426523,2024-01-03,000001,Vente,420000,9,,CHE DU FOURNEAU,0484,78310,78383,Maurepas,78,,,78383000AT0111,,,,,,,,,,,,,0,1,Maison,129,5,S,sols,,,508,1.922976,48.768221
2024-426523,2024-01-03,000001,Vente,420000,,,CHE DE PARIS,0843,78310,78383,Maurepas,78,,,78383000AT0122,,,,,,,,,,,,,0,,,,,S,sols,,,389,1.922661,48.768016
2024-426524,2024-01-03,000001,Vente,200000,2,,RUE BOUGAINVILLE,0071,78990,78208,Élancourt,78,,,78208000AI0203,,,169,,21,45.31,,,,,,,2,3,Dépendance,,0,,,,,,1.963876,48.773287
2024-426524,2024-01-03,000001,Vente,200000,2,,RUE BOUGAINVILLE,0071,78990,78208,Élancourt,78,,,78208000AI0203,,,169,,21,45.31,,,,,,,2,2,Appartement,44,2,,,,,,1.963876,48.773287
2024-426524,2024-01-03,000001,Vente,200000,2,,RUE BOUGAINVILLE,0071,78990,78208,Élancourt,78,,,78208000AI0203,,,132,,,,,,,,,,1,3,Dépendance,,0,,,,,,1.963876,48.773287
2024-426525,2024-01-03,000001,Vente,386970,5,,RUE JULES LADOUMEGUE,1763,78990,78208,Élancourt,78,,,78208000BL0360,,,,,,,,,,,,,0,1,Maison,97,5,S,sols,,,195,1.965995,48.794229
2024-426526,2024-01-02,000001,Vente,170700,18,,RUE DES EBISOIRES,0189,78370,78490,Plaisir,78,,,78490000AH0008,,,162,72.46,182,,,,,,,,2,2,Appartement,76,3,,,,,,1.948278,48.82966
2024-426526,2024-01-02,000001,Vente,170700,18,,RUE DES EBISOIRES,0189,78370,78490,Plaisir,78,,,78490000AH0008,,,162,72.46,182,,,,,,,,2,3,Dépendance,,0,,,,,,1.948278,48.82966
2024-426526,2024-01-02,000001,Vente,170700,18,,RUE DES EBISOIRES,0189,78370,78490,Plaisir,78,,,78490000AH0008,,,198,,,,,,,,,,1,3,Dépendance,,0,,,,,,1.948278,48.82966
2024-426527,2024-01-03,000001,Vente,197000,1,,AV JEAN LURCAT,0402,78340,78165,Les Clayes-sous-Bois,78,,,78165000AD0265,,,542,,,,,,,,,,1,3,Dépendance,,0,,,,,,1.989083,48.828113
2024-426527,2024-01-03,000001,Vente,197000,1,,AV JEAN LURCAT,0402,78340,78165,Les Clayes-sous-Bois,78,,,78165000AD0265,,,202,64.04,230,,,,,,,,2,2,Appartement,59,3,,,,,,1.989083,48.828113
2024-426527,2024-01-03,000001,Vente,197000,1,,AV JEAN LURCAT,0402,78340,78165,Les Clayes-sous-Bois,78,,,78165000AD0265,,,202,64.04,230,,,,,,,,2,3,Dépendance,,0,,,,,,1.989083,48.828113
2024-426528,2024-01-04,000001,Vente,12000,18,,RUE GABRIEL FAURE,1545,78990,78208,Élancourt,78,,,78208000AM0104,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,38,1.956955,48.766306
2024-426529,2024-01-02,000001,Vente en l'état futur d'achèvement,270000,50,,RUE PRESIDENT ROOSEVELT,2740,78500,78586,Sartrouville,78,,,78586000AV0520,,,9,,,,,,,,,,1,,,,,,,,,,2.167782,48.943982
